year,apogee,proca,pruned,plot,score_factor
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,4
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,3
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2019,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,1
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,1
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,1
2018,Bloom,Yes,No,D.II,1
2018,Bloom,Yes,No,D.II,2
2018,Bloom,Yes,No,D.II,3
2018,Bloom,Yes,No,D.II,2
